eprime,theta,xbj,q2,w,modelxsec,epsilon
3.06,29.045,0.637,6.606,2.154,0.0030306,0.5701589020458563
3.08,29.045,0.644,6.649,2.135,0.0028961,0.5729219614297746
3.1,29.045,0.65,6.692,2.116,0.0027661,0.5756705881028624
3.12,29.045,0.657,6.736,2.097,0.0026383,0.5784343154491518
3.14,29.045,0.664,6.779,2.077,0.0025143,0.5811537507348326
3.16,29.045,0.67,6.822,2.058,0.0023934,0.5838587449975993
3.18,29.045,0.677,6.865,2.038,0.0022761,0.5865492963711417
3.2,29.045,0.684,6.908,2.018,0.0021619,0.5892254037952226
3.22,29.045,0.691,6.951,1.998,0.0020516,0.5918870670090082
3.24,29.045,0.698,6.995,1.978,0.0019457,0.5945619686751759
3.26,29.045,0.705,7.038,1.957,0.0018426,0.5971944451581713
3.28,29.045,0.712,7.081,1.937,0.0017437,0.5998124835446541
3.3,29.045,0.719,7.124,1.916,0.0016485,0.6024160867006282
3.32,29.045,0.726,7.167,1.895,0.0015564,0.6050052582573935
3.34,29.045,0.733,7.211,1.873,0.0014689,0.6076061979070151
3.36,29.045,0.74,7.254,1.851,0.0013854,0.6101662303596229
3.38,29.045,0.747,7.297,1.83,0.0013056,0.6127118487781397
3.4,29.045,0.755,7.34,1.807,0.0012305,0.615243059781718
3.42,29.045,0.762,7.383,1.785,0.001159,0.6177598707198859
3.44,29.045,0.769,7.426,1.762,0.0010906,0.6202622896655141
3.46,29.045,0.777,7.47,1.739,0.0010248,0.622774809264686
3.48,29.045,0.785,7.513,1.716,0.00096152,0.6252481943627703
3.5,29.045,0.792,7.556,1.692,0.00090094,0.6277072180774134
3.52,29.045,0.8,7.599,1.668,0.00084375,0.6301518912990958
3.54,29.045,0.808,7.642,1.644,0.00079057,0.632582225606019
3.56,29.045,0.815,7.685,1.619,0.00074024,0.6349982332569573
3.58,29.045,0.823,7.729,1.594,0.00069658,0.6374227768450933
3.6,29.045,0.831,7.772,1.568,0.00065256,0.6398099064136639
3.62,29.045,0.839,7.815,1.542,0.00061045,0.6421827522028395
3.64,29.045,0.847,7.858,1.516,0.00056923,0.6445413291161569
3.66,29.045,0.855,7.901,1.489,0.00052773,0.6468856527016843
3.68,29.045,0.863,7.945,1.462,0.00048632,0.6492372844715613
3.7,29.045,0.872,7.988,1.434,0.00044524,0.6515528967920513
3.72,29.045,0.88,8.031,1.405,0.00040581,0.6538543082817238
3.74,29.045,0.888,8.074,1.376,0.00036845,0.6561415369882466
3.76,29.045,0.897,8.117,1.347,0.00033379,0.6584146015676329
3.78,29.045,0.905,8.16,1.316,0.00030179,0.6606735212770242
3.8,29.045,0.914,8.204,1.285,0.00027226,0.662938365578771
3.82,29.045,0.923,8.247,1.254,0.00024489,0.6651688141907669
3.84,29.045,0.931,8.29,1.221,0.00021908,0.667385181255757
3.86,29.045,0.94,8.333,1.188,0.00019512,0.6695874883561997
3.88,29.045,0.949,8.376,1.153,0.00017312,0.6717757576395436
3.9,29.045,0.958,8.419,1.118,0.00015322,0.673950011811039
3.92,29.045,0.967,8.463,1.081,0.0001355,0.6761289014887705
3.94,29.045,0.976,8.506,1.043,0.00012,0.6782749662917353
3.96,29.045,0.985,8.549,1.003,0.00010658,0.6804070893461652
3.98,29.045,0.995,8.592,0.962,9.5035e-05,0.6825252955091955
4.0,29.045,1.004,8.635,0.919,8.4978e-05,0.6846296101598973
4.02,29.045,1.014,8.679,0.874,7.6017e-05,0.6867375557814723
4.04,29.045,1.023,8.722,0.827,6.7872e-05,0.6888139459713221
4.06,29.045,1.033,8.765,0.777,6.0872e-05,0.6908765257794496
4.08,29.045,1.042,8.808,0.723,5.48e-05,0.6929253225936179
4.1,29.045,1.052,8.851,0.665,4.9509e-05,0.6949603642880444
4.12,29.045,1.062,8.894,0.601,4.4842e-05,0.6969816792163773
4.14,29.045,1.072,8.938,0.53,4.0786e-05,0.6990055009949395
4.16,29.045,1.082,8.981,0.447,3.7318e-05,0.7009992412259476
4.18,29.045,1.092,9.024,0.345,3.4729e-05,0.7029793444412433
4.2,29.045,1.102,9.067,0.196,3.233e-05,0.7049458408338803
4.22,29.045,1.113,9.11,nan,3.0918e-05,0.7068987610414886
4.24,29.045,1.123,9.153,nan,3.0621e-05,0.708838136139392
4.26,29.045,1.134,9.197,nan,2.727e-05,0.7107789792144553
4.28,29.045,1.144,9.24,nan,2.4201e-05,0.7126911621338647
4.3,29.045,1.155,9.283,nan,2.1403e-05,0.7145898975575359
4.32,29.045,1.166,9.326,nan,1.8864e-05,0.716475218234386
4.34,29.045,1.177,9.369,nan,1.6564e-05,0.7183471573169616
4.36,29.045,1.188,9.413,nan,1.4491e-05,0.7202197612087395
4.38,29.045,1.199,9.456,nan,1.2636e-05,0.7220648503392557
4.4,29.045,1.21,9.499,nan,1.1011e-05,0.7238966614728477
4.42,29.045,1.221,9.542,nan,9.5939e-06,0.7257152293006297
4.44,29.045,1.233,9.585,nan,8.3553e-06,0.727520588884051
4.46,29.045,1.244,9.628,nan,7.272e-06,0.7293127756483451
4.48,29.045,1.256,9.672,nan,6.3245e-06,0.7311047357934477
4.5,29.045,1.268,9.715,nan,5.4964e-06,0.7328705074220393
4.52,29.045,1.28,9.758,nan,4.7728e-06,0.7346232163539761
4.54,29.045,1.292,9.801,nan,4.1403e-06,0.7363628993954465
4.56,29.045,1.304,9.844,nan,3.5877e-06,0.7380895936841629
4.58,29.045,1.316,9.888,nan,3.1054e-06,0.7398153762745684
4.6,29.045,1.329,9.931,nan,2.6847e-06,0.741516037153498
4.62,29.045,1.341,9.974,nan,2.3241e-06,0.7432038243002332
4.64,29.045,1.354,nan,nan,2.0218e-06,nan
4.66,29.045,1.367,nan,nan,1.7752e-06,nan
4.68,29.045,1.379,nan,nan,1.5576e-06,nan
4.7,29.045,1.392,nan,nan,1.3656e-06,nan
4.72,29.045,1.406,nan,nan,1.1963e-06,nan
4.74,29.045,1.419,nan,nan,1.0468e-06,nan
4.76,29.045,1.432,nan,nan,9.1519e-07,nan
4.78,29.045,1.446,nan,nan,7.9922e-07,nan
4.8,29.045,1.46,nan,nan,6.9713e-07,nan
4.82,29.045,1.474,nan,nan,6.0731e-07,nan
4.84,29.045,1.488,nan,nan,5.2834e-07,nan
4.86,29.045,1.502,nan,nan,4.5897e-07,nan
4.88,29.045,1.516,nan,nan,3.981e-07,nan
4.9,29.045,1.531,nan,nan,3.4473e-07,nan
4.92,29.045,1.545,nan,nan,2.9798e-07,nan
4.94,29.045,1.56,nan,nan,2.5705e-07,nan
4.96,29.045,1.575,nan,nan,2.2124e-07,nan
4.98,29.045,1.59,nan,nan,1.8991e-07,nan
