eprime,theta,xbj,q2,w,modelxsec
3.88,16.75,0.276,3.514,3.18,0.011792
3.89,16.75,0.277,3.523,3.175,0.01177
3.9,16.75,0.278,3.532,3.171,0.011735
3.91,16.75,0.279,3.541,3.167,0.011705
3.92,16.75,0.28,3.55,3.162,0.011675
3.93,16.75,0.281,3.559,3.158,0.011647
3.94,16.75,0.282,3.568,3.154,0.011616
3.95,16.75,0.284,3.577,3.149,0.011586
3.96,16.75,0.285,3.586,3.145,0.011558
3.97,16.75,0.286,3.595,3.14,0.011527
3.98,16.75,0.287,3.604,3.136,0.011498
3.99,16.75,0.288,3.613,3.131,0.011467
4.0,16.75,0.289,3.622,3.127,0.011436
4.01,16.75,0.29,3.631,3.122,0.011406
4.02,16.75,0.292,3.64,3.118,0.011375
4.03,16.75,0.293,3.649,3.114,0.011342
4.04,16.75,0.294,3.658,3.109,0.011308
4.05,16.75,0.295,3.668,3.105,0.011283
4.06,16.75,0.296,3.677,3.1,0.011245
4.07,16.75,0.298,3.686,3.096,0.011211
4.08,16.75,0.299,3.695,3.091,0.011185
4.09,16.75,0.3,3.704,3.087,0.011147
4.1,16.75,0.301,3.713,3.082,0.01111
4.11,16.75,0.302,3.722,3.078,0.011085
4.12,16.75,0.303,3.731,3.073,0.011046
4.13,16.75,0.305,3.74,3.069,0.011008
4.14,16.75,0.306,3.749,3.064,0.010983
4.15,16.75,0.307,3.758,3.059,0.010942
4.16,16.75,0.308,3.767,3.055,0.0109
4.17,16.75,0.31,3.776,3.05,0.010877
4.18,16.75,0.311,3.785,3.046,0.010837
4.19,16.75,0.312,3.794,3.041,0.010794
4.2,16.75,0.313,3.803,3.037,0.010769
4.21,16.75,0.314,3.812,3.032,0.010727
4.22,16.75,0.316,3.821,3.027,0.010685
4.23,16.75,0.317,3.831,3.023,0.010658
4.24,16.75,0.318,3.84,3.018,0.010616
4.25,16.75,0.319,3.849,3.014,0.010577
4.26,16.75,0.321,3.858,3.009,0.010546
4.27,16.75,0.322,3.867,3.004,0.010502
4.28,16.75,0.323,3.876,3.0,0.010466
4.29,16.75,0.324,3.885,2.995,0.010432
4.3,16.75,0.326,3.894,2.99,0.010389
4.31,16.75,0.327,3.903,2.986,0.010353
4.32,16.75,0.328,3.912,2.981,0.010318
4.33,16.75,0.329,3.921,2.977,0.010276
4.34,16.75,0.331,3.93,2.972,0.010238
4.35,16.75,0.332,3.939,2.967,0.010203
4.36,16.75,0.333,3.948,2.962,0.010165
4.37,16.75,0.335,3.957,2.958,0.010127
4.38,16.75,0.336,3.966,2.953,0.010089
4.39,16.75,0.337,3.975,2.948,0.010052
4.4,16.75,0.339,3.984,2.944,0.010013
4.41,16.75,0.34,3.994,2.939,0.0099725
4.42,16.75,0.341,4.003,2.934,0.0099375
4.43,16.75,0.343,4.012,2.929,0.0098994
4.44,16.75,0.344,4.021,2.925,0.0098635
4.45,16.75,0.345,4.03,2.92,0.0098233
4.46,16.75,0.346,4.039,2.915,0.0097868
4.47,16.75,0.348,4.048,2.91,0.00975
4.48,16.75,0.349,4.057,2.906,0.0097115
4.49,16.75,0.351,4.066,2.901,0.0096738
4.5,16.75,0.352,4.075,2.896,0.009639
4.51,16.75,0.353,4.084,2.891,0.0096006
4.52,16.75,0.355,4.093,2.886,0.0095647
4.53,16.75,0.356,4.102,2.882,0.0095296
4.54,16.75,0.357,4.111,2.877,0.0094888
4.55,16.75,0.359,4.12,2.872,0.0094522
4.56,16.75,0.36,4.129,2.867,0.0094166
4.57,16.75,0.361,4.138,2.862,0.0093802
4.58,16.75,0.363,4.147,2.857,0.0093449
4.59,16.75,0.364,4.157,2.852,0.0093044
4.6,16.75,0.366,4.166,2.848,0.0092726
4.61,16.75,0.367,4.175,2.843,0.0092303
4.62,16.75,0.368,4.184,2.838,0.0091929
4.63,16.75,0.37,4.193,2.833,0.0091586
4.64,16.75,0.371,4.202,2.828,0.0091188
4.65,16.75,0.373,4.211,2.823,0.009085
4.66,16.75,0.374,4.22,2.818,0.0090444
4.67,16.75,0.375,4.229,2.813,0.0090035
4.68,16.75,0.377,4.238,2.808,0.0089688
4.69,16.75,0.378,4.247,2.803,0.0089282
4.7,16.75,0.38,4.256,2.798,0.0088927
4.71,16.75,0.381,4.265,2.793,0.0088498
4.72,16.75,0.383,4.274,2.788,0.008815
4.73,16.75,0.384,4.283,2.783,0.0087741
4.74,16.75,0.386,4.292,2.778,0.0087369
4.75,16.75,0.387,4.301,2.773,0.0086925
4.76,16.75,0.389,4.31,2.768,0.0086507
4.77,16.75,0.39,4.32,2.763,0.0086126
4.78,16.75,0.392,4.329,2.758,0.0085693
4.79,16.75,0.393,4.338,2.753,0.0085327
4.8,16.75,0.394,4.347,2.748,0.0084887
4.81,16.75,0.396,4.356,2.743,0.0084506
4.82,16.75,0.397,4.365,2.738,0.0084039
4.83,16.75,0.399,4.374,2.733,0.0083652
4.84,16.75,0.401,4.383,2.728,0.0083196
4.85,16.75,0.402,4.392,2.723,0.0082761
4.86,16.75,0.404,4.401,2.718,0.0082344
4.87,16.75,0.405,4.41,2.712,0.008193
4.88,16.75,0.407,4.419,2.707,0.0081493
4.89,16.75,0.408,4.428,2.702,0.0081071
4.9,16.75,0.41,4.437,2.697,0.0080632
4.91,16.75,0.411,4.446,2.692,0.0080206
4.92,16.75,0.413,4.455,2.687,0.0079767
4.93,16.75,0.414,4.464,2.681,0.0079325
4.94,16.75,0.416,4.473,2.676,0.0078907
4.95,16.75,0.417,4.483,2.671,0.0078466
4.96,16.75,0.419,4.492,2.666,0.0078056
4.97,16.75,0.421,4.501,2.661,0.0077599
4.98,16.75,0.422,4.51,2.655,0.00772
4.99,16.75,0.424,4.519,2.65,0.0076729
5.0,16.75,0.425,4.528,2.645,0.0076339
5.01,16.75,0.427,4.537,2.64,0.007587
5.02,16.75,0.429,4.546,2.634,0.0075483
5.03,16.75,0.43,4.555,2.629,0.0075011
5.04,16.75,0.432,4.564,2.624,0.007463
5.05,16.75,0.434,4.573,2.618,0.0074159
5.06,16.75,0.435,4.582,2.613,0.0073778
5.07,16.75,0.437,4.591,2.608,0.0073311
5.08,16.75,0.438,4.6,2.602,0.0072929
5.09,16.75,0.44,4.609,2.597,0.0072497
5.1,16.75,0.442,4.618,2.592,0.0072068
5.11,16.75,0.443,4.627,2.586,0.0071652
5.12,16.75,0.445,4.636,2.581,0.0071223
5.13,16.75,0.447,4.646,2.576,0.0070812
5.14,16.75,0.448,4.655,2.57,0.0070373
5.15,16.75,0.45,4.664,2.565,0.0069974
5.16,16.75,0.452,4.673,2.559,0.0069514
5.17,16.75,0.453,4.682,2.554,0.0069109
5.18,16.75,0.455,4.691,2.548,0.0068657
5.19,16.75,0.457,4.7,2.543,0.0068256
5.2,16.75,0.459,4.709,2.538,0.0067793
5.21,16.75,0.46,4.718,2.532,0.0067384
5.22,16.75,0.462,4.727,2.527,0.0066963
5.23,16.75,0.464,4.736,2.521,0.0066513
5.24,16.75,0.466,4.745,2.516,0.0066073
5.25,16.75,0.467,4.754,2.51,0.0065625
5.26,16.75,0.469,4.763,2.504,0.0065194
5.27,16.75,0.471,4.772,2.499,0.0064729
5.28,16.75,0.473,4.781,2.493,0.0064305
5.29,16.75,0.474,4.79,2.488,0.0063843
5.3,16.75,0.476,4.799,2.482,0.0063395
5.31,16.75,0.478,4.809,2.477,0.0062938
5.32,16.75,0.48,4.818,2.471,0.006248
5.33,16.75,0.482,4.827,2.465,0.0062022
5.34,16.75,0.483,4.836,2.46,0.00616
5.35,16.75,0.485,4.845,2.454,0.0061132
5.36,16.75,0.487,4.854,2.448,0.0060685
5.37,16.75,0.489,4.863,2.443,0.0060221
5.38,16.75,0.491,4.872,2.437,0.0059779
5.39,16.75,0.492,4.881,2.431,0.0059318
5.4,16.75,0.494,4.89,2.425,0.0058877
5.41,16.75,0.496,4.899,2.42,0.005842
5.42,16.75,0.498,4.908,2.414,0.0057974
5.43,16.75,0.5,4.917,2.408,0.0057525
5.44,16.75,0.502,4.926,2.402,0.0057083
5.45,16.75,0.504,4.935,2.397,0.005665
5.46,16.75,0.506,4.944,2.391,0.0056199
5.47,16.75,0.507,4.953,2.385,0.0055753
5.48,16.75,0.509,4.962,2.379,0.0055333
5.49,16.75,0.511,4.972,2.373,0.0054861
5.5,16.75,0.513,4.981,2.367,0.005444
5.51,16.75,0.515,4.99,2.361,0.0054022
5.52,16.75,0.517,4.999,2.356,0.0053544
5.53,16.75,0.519,5.008,2.35,0.0053127
5.54,16.75,0.521,5.017,2.344,0.0052709
5.55,16.75,0.523,5.026,2.338,0.005223
5.56,16.75,0.525,5.035,2.332,0.0051812
5.57,16.75,0.527,5.044,2.326,0.0051393
5.58,16.75,0.529,5.053,2.32,0.0050915
5.59,16.75,0.531,5.062,2.314,0.0050489
5.6,16.75,0.533,5.071,2.308,0.0050064
5.61,16.75,0.535,5.08,2.302,0.0049594
5.62,16.75,0.537,5.089,2.296,0.0049162
5.63,16.75,0.539,5.098,2.29,0.0048724
5.64,16.75,0.541,5.107,2.284,0.0048265
5.65,16.75,0.543,5.116,2.278,0.0047826
5.66,16.75,0.545,5.125,2.271,0.0047385
5.67,16.75,0.547,5.135,2.265,0.0046951
5.68,16.75,0.549,5.144,2.259,0.0046483
5.69,16.75,0.551,5.153,2.253,0.0046044
5.7,16.75,0.553,5.162,2.247,0.0045612
5.71,16.75,0.555,5.171,2.241,0.0045168
5.72,16.75,0.557,5.18,2.234,0.0044709
5.73,16.75,0.56,5.189,2.228,0.0044283
5.74,16.75,0.562,5.198,2.222,0.0043851
5.75,16.75,0.564,5.207,2.216,0.0043417
5.76,16.75,0.566,5.216,2.209,0.0042966
5.77,16.75,0.568,5.225,2.203,0.004254
5.78,16.75,0.57,5.234,2.197,0.0042106
5.79,16.75,0.572,5.243,2.19,0.0041689
5.8,16.75,0.575,5.252,2.184,0.004126
5.81,16.75,0.577,5.261,2.178,0.0040822
5.82,16.75,0.579,5.27,2.171,0.00404
5.83,16.75,0.581,5.279,2.165,0.0039976
5.84,16.75,0.583,5.288,2.158,0.0039561
5.85,16.75,0.585,5.298,2.152,0.0039142
5.86,16.75,0.588,5.307,2.145,0.0038704
5.87,16.75,0.59,5.316,2.139,0.0038285
5.88,16.75,0.592,5.325,2.132,0.0037863
5.89,16.75,0.594,5.334,2.126,0.0037444
5.9,16.75,0.597,5.343,2.119,0.0037028
5.91,16.75,0.599,5.352,2.113,0.0036591
5.92,16.75,0.601,5.361,2.106,0.0036171
5.93,16.75,0.604,5.37,2.1,0.0035751
5.94,16.75,0.606,5.379,2.093,0.0035325
5.95,16.75,0.608,5.388,2.086,0.0034908
5.96,16.75,0.61,5.397,2.08,0.0034487
5.97,16.75,0.613,5.406,2.073,0.0034078
5.98,16.75,0.615,5.415,2.066,0.0033645
5.99,16.75,0.617,5.424,2.059,0.0033225
6.0,16.75,0.62,5.433,2.053,0.0032814
6.01,16.75,0.622,5.442,2.046,0.00324
6.02,16.75,0.625,5.451,2.039,0.0031981
6.03,16.75,0.627,5.461,2.032,0.0031572
6.04,16.75,0.629,5.47,2.025,0.0031164
6.05,16.75,0.632,5.479,2.018,0.0030753
6.06,16.75,0.634,5.488,2.012,0.0030344
6.07,16.75,0.637,5.497,2.005,0.0029942
6.08,16.75,0.639,5.506,1.998,0.0029539
6.09,16.75,0.641,5.515,1.991,0.0029132
6.1,16.75,0.644,5.524,1.984,0.0028718
6.11,16.75,0.646,5.533,1.977,0.0028314
6.12,16.75,0.649,5.542,1.97,0.0027911
6.13,16.75,0.651,5.551,1.963,0.002751
6.14,16.75,0.654,5.56,1.955,0.0027108
6.15,16.75,0.656,5.569,1.948,0.0026707
6.16,16.75,0.659,5.578,1.941,0.0026312
6.17,16.75,0.661,5.587,1.934,0.0025914
6.18,16.75,0.664,5.596,1.927,0.002552
6.19,16.75,0.667,5.605,1.92,0.0025124
6.2,16.75,0.669,5.614,1.912,0.0024733
6.21,16.75,0.672,5.624,1.905,0.0024345
6.22,16.75,0.674,5.633,1.898,0.002396
6.23,16.75,0.677,5.642,1.89,0.0023579
6.24,16.75,0.679,5.651,1.883,0.0023201
6.25,16.75,0.682,5.66,1.876,0.0022828
6.26,16.75,0.685,5.669,1.868,0.0022461
6.27,16.75,0.687,5.678,1.861,0.0022095
6.28,16.75,0.69,5.687,1.853,0.0021736
6.29,16.75,0.693,5.696,1.846,0.0021384
6.3,16.75,0.695,5.705,1.838,0.0021044
6.31,16.75,0.698,5.714,1.831,0.0020701
6.32,16.75,0.701,5.723,1.823,0.0020362
6.33,16.75,0.704,5.732,1.815,0.0020025
6.34,16.75,0.706,5.741,1.808,0.0019697
6.35,16.75,0.709,5.75,1.8,0.0019368
6.36,16.75,0.712,5.759,1.792,0.0019046
6.37,16.75,0.715,5.768,1.784,0.0018725
6.38,16.75,0.717,5.777,1.777,0.0018413
6.39,16.75,0.72,5.787,1.769,0.0018095
6.4,16.75,0.723,5.796,1.761,0.0017785
6.41,16.75,0.726,5.805,1.753,0.0017472
6.42,16.75,0.729,5.814,1.745,0.0017167
6.43,16.75,0.732,5.823,1.737,0.0016854
6.44,16.75,0.734,5.832,1.729,0.0016544
6.45,16.75,0.737,5.841,1.721,0.001623
6.46,16.75,0.74,5.85,1.713,0.0015912
6.47,16.75,0.743,5.859,1.705,0.0015605
6.48,16.75,0.746,5.868,1.696,0.0015284
6.49,16.75,0.749,5.877,1.688,0.0014963
6.5,16.75,0.752,5.886,1.68,0.0014641
